V1	V2
474	Mrc1	Man1a
475	Errfi1	Man1a
476	Nr4a2	Man1a
477	Nrg1	Man1a
478	Lmna	Dapk1
479	March3	Dapk1
480	Uck2	Dapk1
481	Mrc1	Dapk1
482	Nrg1	Dapk1
483	Gm47283	Dapk1
484	Man1a	Dapk1
485	Ccl9	Tbxas1
486	Arg1	Tbxas1
487	Pf4	Tbxas1
488	Fn1	Tbxas1
489	Ear2	Tbxas1
490	Ms4a6d	Tbxas1
491	Lmna	Tbxas1
492	Slc16a10	Tbxas1
493	Pdia6	Tbxas1
494	Lpl	Tbxas1
495	Ecm1	Tbxas1
496	Pde4d	Tbxas1
497	Emp1	Tbxas1
498	Dab2	Tbxas1
499	Prdx2	Tbxas1
500	Gpr171	Tbxas1
501	Spp1	Cd38
502	Arg1	Cd38
503	Pf4	Cd38
504	Fn1	Cd38
505	Mt2	Cd38
506	Ppbp	Cd38
507	Ccl24	Cd38
508	Ecm1	Cd38
509	Emp1	Cd38
510	B4galt1	Cd38
511	Nr4a2	Cd38
512	Exosc3	Cd38
513	Arg1	Fam172a
514	Ccl2	Fam172a
515	Fn1	Fam172a
516	Lmna	Fam172a
517	Ecm1	Fam172a
518	Pde4d	Fam172a
519	Vcan	Fam172a
520	Nrg1	Fam172a
521	Gm47283	Fam172a
522	Man1a	Fam172a
523	Plcb1	Vps8
524	Slc16a10	Vps8
525	March3	Vps8
526	Klf4	Vps8
527	Arg1	Tfrc
528	Ccl2	Tfrc
529	Pf4	Tfrc
530	Ccl7	Tfrc
531	Ccl12	Tfrc
532	Ppbp	Tfrc
533	Ecm1	Tfrc
534	Mrc1	Tfrc
535	Cd38	Tfrc
536	Tubb6	Imp4
537	Smpdl3b	Imp4
538	Myo1e	Imp4
539	Ccl2	Eif2s2
540	F13a1	Eif2s2
541	Ms4a6d	Eif2s2
542	Mmp19	Eif2s2
543	Pdia6	Eif2s2
544	Ormdl2	Eif2s2
545	Nr4a2	Eif2s2
546	Nrg1	Eif2s2
