V1	V2
485	Ccl24	Appbp2
486	Ero1l	Appbp2
487	Cacna1d	Appbp2
488	Timp1	Appbp2
489	Lpp	Appbp2
490	Bst1	Appbp2
491	Gbe1	Appbp2
492	Ccl3	Arl6ip6
493	Slc16a3	Arl6ip6
494	Cxcl1	Arl6ip6
495	Inhba	Arl6ip6
496	Il6	Arl6ip6
497	Tnfrsf9	Arl6ip6
498	Arg1	Arrdc4
499	Ccl24	Arrdc4
500	Fam162a	Arrdc4
501	Itgam	Arrdc4
502	Cd24a	Arrdc4
503	Pfkl	Arrdc4
504	Arg1	Irak1
505	Thbs1	Irak1
506	Cxcl3	Irak1
507	Egln3	Irak1
508	Wfdc21	Irak1
509	Arg1	Hbegf
510	Hilpda	Hbegf
511	Thbs1	Hbegf
512	Cxcl3	Hbegf
513	Ccl24	Hbegf
514	Mt2	Hbegf
515	Inhba	Hbegf
516	Fam162a	Hbegf
517	Areg	Hbegf
518	Il6	Hbegf
519	Serpinb2	Hbegf
520	Bcl2a1d	Hbegf
521	Ptgs2	Hbegf
522	Rffl	Hbegf
523	Mthfd1l	Hbegf
524	Gm13986	Hbegf
525	Bcl2a1a	Hbegf
526	Hcar2	Hbegf
527	Arg1	Tmem165
528	Hilpda	Tmem165
529	Cxcl3	Tmem165
530	Ccl24	Tmem165
531	S100a8	Tmem165
532	Il6	Tmem165
533	Bst1	Tmem165
534	Wfdc21	Tmem165
535	Rffl	Tmem165
536	Arg1	Upp1
537	Hilpda	Upp1
538	Cxcl3	Upp1
539	Ccl3	Upp1
540	Mt2	Upp1
541	Cxcl1	Upp1
542	Ero1l	Upp1
543	Inhba	Upp1
544	Bnip3	Upp1
545	Fam162a	Upp1
546	Areg	Upp1
547	Il6	Upp1
548	Egln3	Upp1
549	Cd24a	Upp1
550	Wfdc21	Upp1
551	Rbpms	Upp1
552	Gbe1	Upp1
553	Il1a	Upp1
554	Arl6ip6	Upp1
555	B2m	Gmfb
556	Hilpda	Gmfb
557	Thbs1	Gmfb
558	Il6	Gmfb
559	Arg1	Ttc39b
560	Thbs1	Ttc39b
561	Cxcl3	Ttc39b
562	Ccl24	Ttc39b
563	Pdpn	Ttc39b
564	Inhba	Ttc39b
565	Areg	Ttc39b
566	Il6	Ttc39b
567	Serpinb2	Ttc39b
568	Bcl2a1a	Ttc39b
569	Arl6ip6	Ttc39b
570	Arg1	Tfec
571	Hilpda	Tfec
572	Thbs1	Tfec
573	Cxcl3	Tfec
574	Ccl24	Tfec
575	S100a8	Tfec
576	Mt2	Tfec
577	Inhba	Tfec
578	Bnip3	Tfec
579	Fam162a	Tfec
580	Itgam	Tfec
581	Il6	Tfec
582	Lpp	Tfec
583	Bst1	Tfec
584	Serpine1	Tfec
585	Cd24a	Tfec
586	Ptgs2	Tfec
587	Ets2	Tfec
588	Rbpms	Tfec
589	Gm13986	Tfec
590	Tlr4	Tfec
591	Gbe1	Tfec
592	Jaml	Tfec
593	Il1a	Tfec
594	Papss2	Tfec
595	Hbegf	Tfec
596	Tmem165	Tfec
597	Upp1	Tfec
598	B2m	Nhp2
599	Hilpda	Nhp2
600	Il6	Nhp2
601	Bst1	Nhp2
602	Bcl2a1d	Nhp2
603	Pfkl	Nhp2
604	Cxcl3	Csta2
605	Inhba	Csta2
606	Areg	Csta2
607	Tlr4	Csta2
608	Hbegf	Csta2
609	Ttc39b	Csta2
610	Tfec	Csta2
611	Arg1	4833427F10Rik
612	Hilpda	4833427F10Rik
613	Thbs1	4833427F10Rik
614	Cxcl3	4833427F10Rik
615	Ccl3	4833427F10Rik
616	Mt2	4833427F10Rik
617	Inhba	4833427F10Rik
618	Bnip3	4833427F10Rik
619	Fam162a	4833427F10Rik
620	Areg	4833427F10Rik
621	Il1a	4833427F10Rik
622	Mthfd2	4833427F10Rik
623	Hbegf	4833427F10Rik
624	Upp1	4833427F10Rik
625	Tfec	4833427F10Rik
626	Csta2	4833427F10Rik
627	Arg1	F7
628	B2m	F7
629	Hilpda	F7
630	Thbs1	F7
631	Cxcl3	F7
632	Ccl24	F7
633	Pdpn	F7
634	S100a8	F7
635	Vcan	F7
636	Mt2	F7
637	Ero1l	F7
638	Inhba	F7
639	Bnip3	F7
640	Il6	F7
641	Serpine1	F7
642	Cd24a	F7
643	Bcl2a1d	F7
644	Rab11fip1	F7
645	Wfdc21	F7
646	Tlr4	F7
647	Pfkl	F7
648	Bcl2a1a	F7
649	Il1a	F7
650	Hcar2	F7
651	Hbegf	F7
652	Upp1	F7
653	Gmfb	F7
654	Tfec	F7
655	Csta2	F7
656	4833427F10Rik	F7
657	Arg1	Pgm1
658	Hilpda	Pgm1
659	Ccl24	Pgm1
660	Bnip3	Pgm1
661	Bcl2a1d	Pgm1
662	Ankrd37	Pgm1
663	Mthfd1l	Pgm1
664	Acly	Pgm1
665	Gm15283	Pgm1
666	Hcar2	Pgm1
667	Hbegf	Pgm1
668	Arg1	A930007I19Rik
669	B2m	A930007I19Rik
670	Hilpda	A930007I19Rik
671	Thbs1	A930007I19Rik
672	Cxcl3	A930007I19Rik
673	Ccl24	A930007I19Rik
674	Pdpn	A930007I19Rik
675	Sdc4	A930007I19Rik
676	Mt2	A930007I19Rik
677	Inhba	A930007I19Rik
678	Bnip3	A930007I19Rik
679	Fam162a	A930007I19Rik
680	Areg	A930007I19Rik
681	Il6	A930007I19Rik
682	Serpine1	A930007I19Rik
683	Ptgs2	A930007I19Rik
684	Wfdc21	A930007I19Rik
685	Bcl2a1a	A930007I19Rik
686	Tnfrsf9	A930007I19Rik
687	Hbegf	A930007I19Rik
688	Tmem165	A930007I19Rik
689	Ttc39b	A930007I19Rik
690	Tfec	A930007I19Rik
691	Nhp2	A930007I19Rik
692	F7	A930007I19Rik
693	Arg1	Lars
694	Ero1l	Lars
695	Rab11fip1	Lars
696	Jaml	Lars
697	Mthfd2	Lars
698	Gm15283	Lars
699	Irak1	Lars
