V1	V2
Rpl14	Dok2
Rgcc	Dok2
Rps23	Dok2
F10	Dok2
Rpl11	Dok2
Manf	Dok2
Mt2	Dok2
Ero1l	Dok2
Nedd9	Dok2
Inhba	Dok2
Bnip3	Dok2
Pilra	Dok2
Fndc3a	Dok2
Dnajb9	Dok2
Lyz2	Slc2a1
Ctss	Slc2a1
Cst3	Slc2a1
Tmsb4x	Slc2a1
Cxcl3	Slc2a1
Tyrobp	Slc2a1
Rpl32	Slc2a1
Rps18	Slc2a1
Rpl41	Slc2a1
Rps19	Slc2a1
Rpl13	Slc2a1
Rps8	Slc2a1
Rpl3	Slc2a1
Prdx6	Slc2a1
Rgcc	Slc2a1
F10	Slc2a1
Rpl11	Slc2a1
Ccr1	Slc2a1
Slc16a3	Slc2a1
Manf	Slc2a1
Mt2	Slc2a1
Emilin2	Slc2a1
Smox	Slc2a1
Ero1l	Slc2a1
Inhba	Slc2a1
Bnip3	Slc2a1
Fam162a	Slc2a1
Higd1a	Slc2a1
Fndc3a	Slc2a1
Dnajb9	Slc2a1
Gpr141	Slc2a1
Lyz2	Eif4ebp1
Ctss	Eif4ebp1
Cst3	Eif4ebp1
Tmsb4x	Eif4ebp1
Cxcl3	Eif4ebp1
Tyrobp	Eif4ebp1
Rps8	Eif4ebp1
Prdx6	Eif4ebp1
F10	Eif4ebp1
Slc16a3	Eif4ebp1
Manf	Eif4ebp1
Mt2	Eif4ebp1
Emilin2	Eif4ebp1
Smox	Eif4ebp1
Ero1l	Eif4ebp1
Nedd9	Eif4ebp1
Bnip3	Eif4ebp1
Fam162a	Eif4ebp1
Higd1a	Eif4ebp1
Fndc3a	Eif4ebp1
Dnajb9	Eif4ebp1
Gpr141	Eif4ebp1
Slc2a1	Eif4ebp1
Lyz2	P4hb
Ctss	P4hb
Cst3	P4hb
Tmsb4x	P4hb
Cxcl3	P4hb
Rpl37a	P4hb
Tyrobp	P4hb
Rpl32	P4hb
Slpi	P4hb
Rps18	P4hb
Rpl41	P4hb
Rps19	P4hb
Rpl13	P4hb
Rps8	P4hb
Rplp1	P4hb
Rpl3	P4hb
Prdx6	P4hb
Rpl14	P4hb
Rgcc	P4hb
Rps23	P4hb
F10	P4hb
Rpl11	P4hb
Ccr1	P4hb
Slc16a3	P4hb
Manf	P4hb
Mt2	P4hb
Emilin2	P4hb
Smox	P4hb
Ero1l	P4hb
Nedd9	P4hb
Inhba	P4hb
Bnip3	P4hb
Fam162a	P4hb
Higd1a	P4hb
Pilra	P4hb
Fndc3a	P4hb
Dnajb9	P4hb
Gpr141	P4hb
Dok2	P4hb
Slc2a1	P4hb
Eif4ebp1	P4hb
Lyz2	Sgms2
Ctss	Sgms2
Cst3	Sgms2
Tmsb4x	Sgms2
Cxcl3	Sgms2
Rpl32	Sgms2
Slpi	Sgms2
Rps18	Sgms2
Rps19	Sgms2
Rpl13	Sgms2
Rps8	Sgms2
Rpl3	Sgms2
Prdx6	Sgms2
Rpl14	Sgms2
Rgcc	Sgms2
F10	Sgms2
Rpl11	Sgms2
Ccr1	Sgms2
Slc16a3	Sgms2
Manf	Sgms2
Mt2	Sgms2
Emilin2	Sgms2
Smox	Sgms2
Ero1l	Sgms2
Nedd9	Sgms2
Inhba	Sgms2
Bnip3	Sgms2
Fam162a	Sgms2
Higd1a	Sgms2
Fndc3a	Sgms2
Dnajb9	Sgms2
Gpr141	Sgms2
Dok2	Sgms2
Slc2a1	Sgms2
P4hb	Sgms2
Lyz2	Maml2
Ctss	Maml2
Cst3	Maml2
Tmsb4x	Maml2
Cxcl3	Maml2
Rpl37a	Maml2
Rps27a	Maml2
Rpl32	Maml2
Slpi	Maml2
Rps18	Maml2
Rps4x	Maml2
Rpl41	Maml2
Rps19	Maml2
Rpl13	Maml2
Rps8	Maml2
Rplp1	Maml2
Rpl14	Maml2
Rgcc	Maml2
Rps23	Maml2
Rpl11	Maml2
Slc16a3	Maml2
Mt2	Maml2
Emilin2	Maml2
Ero1l	Maml2
Inhba	Maml2
Bnip3	Maml2
Pilra	Maml2
Fndc3a	Maml2
Slc2a1	Maml2
Eif4ebp1	Maml2
P4hb	Maml2
Lyz2	Trem1
Ctss	Trem1
Cst3	Trem1
Tmsb4x	Trem1
Cxcl3	Trem1
Rpl37a	Trem1
Rps27a	Trem1
Rpl32	Trem1
Slpi	Trem1
Rps18	Trem1
Rpl41	Trem1
Rps19	Trem1
Rpl13	Trem1
Rps8	Trem1
Rplp1	Trem1
Rpl3	Trem1
Prdx6	Trem1
Rpl14	Trem1
Rgcc	Trem1
F10	Trem1
Rpl11	Trem1
Ccr1	Trem1
Slc16a3	Trem1
Emilin2	Trem1
Smox	Trem1
Ero1l	Trem1
Nedd9	Trem1
Inhba	Trem1
