Name	Score	Rank
drug_309	drug_309	0.559422580610421	284.5
drug_311	drug_311	0.559422580610421	284.5
drug_316	drug_316	0.559422580610421	284.5
drug_130	drug_130	0.579003017335188	288
drug_452	drug_452	0.600843535730823	289
drug_2	drug_2	0.622493317612288	290
drug_267	drug_267	0.656184415651126	291
drug_22	drug_22	0.65625	292
drug_12	drug_12	0.691381547277673	293.5
drug_440	drug_440	0.691381547277673	293.5
drug_186	drug_186	0.703457784926248	299
drug_241	drug_241	0.703457784926248	299
drug_243	drug_243	0.703457784926248	299
drug_260	drug_260	0.703457784926248	299
drug_268	drug_268	0.703457784926248	299
drug_37	drug_37	0.703457784926248	299
drug_388	drug_388	0.703457784926248	299
drug_45	drug_45	0.703457784926248	299
drug_51	drug_51	0.703457784926248	299
drug_171	drug_171	0.740746243153462	318.5
drug_177	drug_177	0.740746243153462	318.5
drug_192	drug_192	0.740746243153462	318.5
drug_245	drug_245	0.740746243153462	318.5
drug_25	drug_25	0.740746243153462	318.5
drug_26	drug_26	0.740746243153462	318.5
drug_262	drug_262	0.740746243153462	318.5
drug_269	drug_269	0.740746243153462	318.5
drug_285	drug_285	0.740746243153462	318.5
drug_29	drug_29	0.740746243153462	318.5
drug_292	drug_292	0.740746243153462	318.5
drug_300	drug_300	0.740746243153462	318.5
drug_302	drug_302	0.740746243153462	318.5
drug_310	drug_310	0.740746243153462	318.5
drug_312	drug_312	0.740746243153462	318.5
drug_32	drug_32	0.740746243153462	318.5
drug_34	drug_34	0.740746243153462	318.5
drug_38	drug_38	0.740746243153462	318.5
drug_42	drug_42	0.740746243153462	318.5
drug_456	drug_456	0.740746243153462	318.5
drug_457	drug_457	0.740746243153462	318.5
drug_46	drug_46	0.740746243153462	318.5
drug_462	drug_462	0.740746243153462	318.5
drug_467	drug_467	0.740746243153462	318.5
drug_47	drug_47	0.740746243153462	318.5
drug_488	drug_488	0.740746243153462	318.5
drug_60	drug_60	0.740746243153462	318.5
drug_61	drug_61	0.740746243153462	318.5
drug_70	drug_70	0.740746243153462	318.5
drug_86	drug_86	0.740746243153462	318.5
drug_159	drug_159	0.755409027674151	334
drug_259	drug_259	0.776635595292734	337
drug_270	drug_270	0.776635595292734	337
drug_455	drug_455	0.776635595292734	337
drug_491	drug_491	0.776635595292734	337
drug_496	drug_496	0.776635595292734	337
drug_294	drug_294	0.883281644558707	340
drug_426	drug_426	0.893792381913103	341
drug_381	drug_381	0.969498336086338	342.5
drug_402	drug_402	0.969498336086338	342.5
drug_175	drug_175	0.99944648856955	351
drug_178	drug_178	0.99944648856955	351
drug_188	drug_188	0.99944648856955	351
drug_197	drug_197	0.99944648856955	351
drug_255	drug_255	0.99944648856955	351
drug_256	drug_256	0.99944648856955	351
drug_264	drug_264	0.99944648856955	351
drug_27	drug_27	0.99944648856955	351
drug_274	drug_274	0.99944648856955	351
drug_276	drug_276	0.99944648856955	351
drug_278	drug_278	0.99944648856955	351
drug_282	drug_282	0.99944648856955	351
drug_286	drug_286	0.99944648856955	351
drug_41	drug_41	0.99944648856955	351
drug_449	drug_449	0.99944648856955	351
drug_1	drug_1	1	427.5
drug_118	drug_118	1	427.5
drug_13	drug_13	1	427.5
drug_143	drug_143	1	427.5
drug_144	drug_144	1	427.5
drug_146	drug_146	1	427.5
drug_147	drug_147	1	427.5
drug_148	drug_148	1	427.5
drug_149	drug_149	1	427.5
drug_150	drug_150	1	427.5
drug_151	drug_151	1	427.5
drug_152	drug_152	1	427.5
drug_154	drug_154	1	427.5
drug_155	drug_155	1	427.5
drug_156	drug_156	1	427.5
drug_158	drug_158	1	427.5
drug_160	drug_160	1	427.5
drug_161	drug_161	1	427.5
drug_162	drug_162	1	427.5
drug_163	drug_163	1	427.5
drug_164	drug_164	1	427.5
drug_165	drug_165	1	427.5
drug_166	drug_166	1	427.5
drug_168	drug_168	1	427.5
drug_169	drug_169	1	427.5
drug_180	drug_180	1	427.5
drug_194	drug_194	1	427.5
drug_201	drug_201	1	427.5
drug_202	drug_202	1	427.5
drug_203	drug_203	1	427.5
drug_204	drug_204	1	427.5
drug_205	drug_205	1	427.5
drug_207	drug_207	1	427.5
drug_208	drug_208	1	427.5
drug_209	drug_209	1	427.5
drug_211	drug_211	1	427.5
drug_212	drug_212	1	427.5
drug_213	drug_213	1	427.5
drug_214	drug_214	1	427.5
drug_215	drug_215	1	427.5
drug_216	drug_216	1	427.5
drug_217	drug_217	1	427.5
drug_218	drug_218	1	427.5
drug_220	drug_220	1	427.5
drug_221	drug_221	1	427.5
drug_222	drug_222	1	427.5
drug_223	drug_223	1	427.5
drug_224	drug_224	1	427.5
drug_228	drug_228	1	427.5
drug_229	drug_229	1	427.5
drug_230	drug_230	1	427.5
drug_250	drug_250	1	427.5
